PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityUpperLimit,PLANDEACCION,ECU,ELEC_TERM,,,,2012,,,,,,
TotalTechnologyAnnualActivityUpperLimit,PLANDEACCION,ECU,ELEC_TERM,,,,2013,,,,,,
TotalTechnologyAnnualActivityUpperLimit,PLANDEACCION,ECU,ELEC_TERM,,,,2014,,,,,,
TotalTechnologyAnnualActivityUpperLimit,PLANDEACCION,ECU,ELEC_TERM,,,,2015,,,,,,
TotalTechnologyAnnualActivityUpperLimit,PLANDEACCION,ECU,ELEC_TERM,,,,2016,,,,,,
TotalTechnologyAnnualActivityUpperLimit,PLANDEACCION,ECU,ELEC_TERM,,,,2017,,,,,,
TotalTechnologyAnnualActivityUpperLimit,PLANDEACCION,ECU,ELEC_TERM,,,,2018,,,,,,
TotalTechnologyAnnualActivityUpperLimit,PLANDEACCION,ECU,ELEC_TERM,,,,2019,,,,,,
TotalTechnologyAnnualActivityUpperLimit,PLANDEACCION,ECU,ELEC_TERM,,,,2020,,,,,,
TotalTechnologyAnnualActivityUpperLimit,PLANDEACCION,ECU,ELEC_TERM,,,,2021,,,,,,
TotalTechnologyAnnualActivityUpperLimit,PLANDEACCION,ECU,ELEC_TERM,,,,2022,,,,,,
TotalTechnologyAnnualActivityUpperLimit,PLANDEACCION,ECU,ELEC_TERM,,,,2023,,,,,,
TotalTechnologyAnnualActivityUpperLimit,PLANDEACCION,ECU,ELEC_TERM,,,,2024,,,,,,
TotalTechnologyAnnualActivityUpperLimit,PLANDEACCION,ECU,ELEC_TERM,,,,2025,,,,,,
TotalTechnologyAnnualActivityUpperLimit,PLANDEACCION,ECU,ELEC_TERM,,,,2026,,,,,,
TotalTechnologyAnnualActivityUpperLimit,PLANDEACCION,ECU,ELEC_TERM,,,,2027,,,,,,
TotalTechnologyAnnualActivityUpperLimit,PLANDEACCION,ECU,ELEC_TERM,,,,2028,,,,,,
TotalTechnologyAnnualActivityUpperLimit,PLANDEACCION,ECU,ELEC_TERM,,,,2029,,,,,,
TotalTechnologyAnnualActivityUpperLimit,PLANDEACCION,ECU,ELEC_TERM,,,,2030,,,,,,
TotalTechnologyAnnualActivityUpperLimit,PLANDEACCION,ECU,ELEC_TERM,,,,2031,,,,,,
TotalTechnologyAnnualActivityUpperLimit,PLANDEACCION,ECU,ELEC_TERM,,,,2032,,,,,,
TotalTechnologyAnnualActivityUpperLimit,PLANDEACCION,ECU,ELEC_TERM,,,,2033,,,,,,
TotalTechnologyAnnualActivityUpperLimit,PLANDEACCION,ECU,ELEC_TERM,,,,2034,,,,,,
TotalTechnologyAnnualActivityUpperLimit,PLANDEACCION,ECU,ELEC_TERM,,,,2035,,,,,,
TotalTechnologyAnnualActivityUpperLimit,PLANDEACCION,ECU,ELEC_TERM,,,,2036,,,,,,
TotalTechnologyAnnualActivityUpperLimit,PLANDEACCION,ECU,ELEC_TERM,,,,2037,,,,,,
TotalTechnologyAnnualActivityUpperLimit,PLANDEACCION,ECU,ELEC_TERM,,,,2038,,,,,,
TotalTechnologyAnnualActivityUpperLimit,PLANDEACCION,ECU,ELEC_TERM,,,,2039,,,,,,
TotalTechnologyAnnualActivityUpperLimit,PLANDEACCION,ECU,ELEC_TERM,,,,2040,,,,,,
TotalTechnologyAnnualActivityUpperLimit,PLANDEACCION,ECU,ELEC_TERM,,,,2041,,,,,,
TotalTechnologyAnnualActivityUpperLimit,PLANDEACCION,ECU,ELEC_TERM,,,,2042,,,,,,
TotalTechnologyAnnualActivityUpperLimit,PLANDEACCION,ECU,ELEC_TERM,,,,2043,,,,,,
TotalTechnologyAnnualActivityUpperLimit,PLANDEACCION,ECU,ELEC_TERM,,,,2044,,,,,,
TotalTechnologyAnnualActivityUpperLimit,PLANDEACCION,ECU,ELEC_TERM,,,,2045,,,,,,
