PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
ResidualCapacity,DDP,ECU,RAW_MAT_CLK,,,,2030,,,,,,
ResidualCapacity,DDP,ECU,RAW_MAT_CLK,,,,2031,,,,,,
ResidualCapacity,DDP,ECU,RAW_MAT_CLK,,,,2032,,,,,,
ResidualCapacity,DDP,ECU,RAW_MAT_CLK,,,,2033,,,,,,
ResidualCapacity,DDP,ECU,RAW_MAT_CLK,,,,2034,,,,,,
ResidualCapacity,DDP,ECU,RAW_MAT_CLK,,,,2035,,,,,,
ResidualCapacity,DDP,ECU,RAW_MAT_CLK,,,,2036,,,,,,
ResidualCapacity,DDP,ECU,RAW_MAT_CLK,,,,2037,,,,,,
ResidualCapacity,DDP,ECU,RAW_MAT_CLK,,,,2038,,,,,,
ResidualCapacity,DDP,ECU,RAW_MAT_CLK,,,,2039,,,,,,
ResidualCapacity,DDP,ECU,RAW_MAT_CLK,,,,2040,,,,,,
ResidualCapacity,DDP,ECU,RAW_MAT_CLK,,,,2041,,,,,,
ResidualCapacity,DDP,ECU,RAW_MAT_CLK,,,,2042,,,,,,
ResidualCapacity,DDP,ECU,RAW_MAT_CLK,,,,2043,,,,,,
ResidualCapacity,DDP,ECU,RAW_MAT_CLK,,,,2044,,,,,,
ResidualCapacity,DDP,ECU,RAW_MAT_CLK,,,,2045,,,,,,
ResidualCapacity,DDP,ECU,RAW_MAT_CLK,,,,2046,,,,,,
ResidualCapacity,DDP,ECU,RAW_MAT_CLK,,,,2047,,,,,,
ResidualCapacity,DDP,ECU,RAW_MAT_CLK,,,,2048,,,,,,
ResidualCapacity,DDP,ECU,RAW_MAT_CLK,,,,2049,,,,,,
ResidualCapacity,DDP,ECU,RAW_MAT_CLK,,,,2050,,,,,,
ResidualCapacity,DDP,ECU,RAW_MAT_CLK,,,,2051,,,,,,
ResidualCapacity,DDP,ECU,RAW_MAT_CLK,,,,2052,,,,,,
ResidualCapacity,DDP,ECU,RAW_MAT_CLK,,,,2053,,,,,,
ResidualCapacity,DDP,ECU,RAW_MAT_CLK,,,,2054,,,,,,
ResidualCapacity,DDP,ECU,RAW_MAT_CLK,,,,2055,,,,,,
ResidualCapacity,DDP,ECU,RAW_MAT_CLK,,,,2056,,,,,,
ResidualCapacity,DDP,ECU,RAW_MAT_CLK,,,,2057,,,,,,
ResidualCapacity,DDP,ECU,RAW_MAT_CLK,,,,2058,,,,,,
ResidualCapacity,DDP,ECU,RAW_MAT_CLK,,,,2059,,,,,,
ResidualCapacity,DDP,ECU,RAW_MAT_CLK,,,,2060,,,,,,
ResidualCapacity,DDP,ECU,RAW_MAT_CLK,,,,2061,,,,,,
ResidualCapacity,DDP,ECU,RAW_MAT_CLK,,,,2062,,,,,,
ResidualCapacity,DDP,ECU,RAW_MAT_CLK,,,,2063,,,,,,
ResidualCapacity,DDP,ECU,RAW_MAT_CLK,,,,2064,,,,,,
ResidualCapacity,DDP,ECU,RAW_MAT_CLK,,,,2065,,,,,,
ResidualCapacity,DDP,ECU,RAW_MAT_CLK,,,,2066,,,,,,
ResidualCapacity,DDP,ECU,RAW_MAT_CLK,,,,2067,,,,,,
ResidualCapacity,DDP,ECU,RAW_MAT_CLK,,,,2068,,,,,,
ResidualCapacity,DDP,ECU,RAW_MAT_CLK,,,,2069,,,,,,
ResidualCapacity,DDP,ECU,RAW_MAT_CLK,,,,2070,,,,,,
ResidualCapacity,DDP,ECU,ELEC_TERM,,,,2010,,,,,,
ResidualCapacity,DDP,ECU,ELEC_TERM,,,,2011,,,,,,
ResidualCapacity,DDP,ECU,ELEC_TERM,,,,2012,,,,,,
ResidualCapacity,DDP,ECU,ELEC_TERM,,,,2013,,,,,,
ResidualCapacity,DDP,ECU,ELEC_TERM,,,,2014,,,,,,
ResidualCapacity,DDP,ECU,ELEC_TERM,,,,2015,,,,,,
ResidualCapacity,DDP,ECU,ELEC_TERM,,,,2016,,,,,,
ResidualCapacity,DDP,ECU,ELEC_TERM,,,,2017,,,,,,
ResidualCapacity,DDP,ECU,ELEC_TERM,,,,2018,,,,,,
ResidualCapacity,DDP,ECU,ELEC_TERM,,,,2019,,,,,,
ResidualCapacity,DDP,ECU,ELEC_TERM,,,,2020,,,,,,
ResidualCapacity,DDP,ECU,ELEC_TERM,,,,2021,,,,,,
ResidualCapacity,DDP,ECU,ELEC_TERM,,,,2022,,,,,,
ResidualCapacity,DDP,ECU,ELEC_TERM,,,,2023,,,,,,
ResidualCapacity,DDP,ECU,ELEC_TERM,,,,2024,,,,,,
ResidualCapacity,DDP,ECU,ELEC_TERM,,,,2025,,,,,,
ResidualCapacity,DDP,ECU,ELEC_TERM,,,,2026,,,,,,
ResidualCapacity,DDP,ECU,ELEC_TERM,,,,2027,,,,,,
ResidualCapacity,DDP,ECU,ELEC_TERM,,,,2028,,,,,,
ResidualCapacity,DDP,ECU,ELEC_TERM,,,,2029,,,,,,
ResidualCapacity,DDP,ECU,ELEC_TERM,,,,2030,,,,,,
ResidualCapacity,DDP,ECU,ELEC_TERM,,,,2031,,,,,,
ResidualCapacity,DDP,ECU,ELEC_TERM,,,,2032,,,,,,
ResidualCapacity,DDP,ECU,ELEC_TERM,,,,2033,,,,,,
