PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_TERM,,,,2019,,,,,,
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_TERM,,,,2020,,,,,,
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_TERM,,,,2021,,,,,,
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_TERM,,,,2022,,,,,,
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_TERM,,,,2023,,,,,,
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_TERM,,,,2024,,,,,,
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_TERM,,,,2025,,,,,,
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_TERM,,,,2026,,,,,,
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_TERM,,,,2027,,,,,,
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_TERM,,,,2028,,,,,,
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_TERM,,,,2029,,,,,,
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_TERM,,,,2030,,,,,,
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_TERM,,,,2031,,,,,,
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_TERM,,,,2032,,,,,,
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_TERM,,,,2033,,,,,,
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_TERM,,,,2034,,,,,,
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_TERM,,,,2035,,,,,,
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_TERM,,,,2036,,,,,,
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_TERM,,,,2037,,,,,,
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_TERM,,,,2038,,,,,,
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_TERM,,,,2039,,,,,,
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_TERM,,,,2040,,,,,,
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_TERM,,,,2041,,,,,,
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_TERM,,,,2042,,,,,,
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_TERM,,,,2043,,,,,,
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_TERM,,,,2044,,,,,,
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_TERM,,,,2045,,,,,,
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_TERM,,,,2046,,,,,,
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_TERM,,,,2047,,,,,,
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_TERM,,,,2048,,,,,,
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_TERM,,,,2049,,,,,,
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_TERM,,,,2050,,,,,,
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_TERM,,,,2051,,,,,,
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_TERM,,,,2052,,,,,,
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_TERM,,,,2053,,,,,,
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_TERM,,,,2054,,,,,,
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_TERM,,,,2055,,,,,,
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_TERM,,,,2056,,,,,,
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_TERM,,,,2057,,,,,,
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_TERM,,,,2058,,,,,,
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_TERM,,,,2059,,,,,,
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_TERM,,,,2060,,,,,,
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_TERM,,,,2061,,,,,,
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_TERM,,,,2062,,,,,,
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_TERM,,,,2063,,,,,,
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_TERM,,,,2064,,,,,,
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_TERM,,,,2065,,,,,,
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_TERM,,,,2066,,,,,,
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_TERM,,,,2067,,,,,,
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_TERM,,,,2068,,,,,,
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_TERM,,,,2069,,,,,,
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_TERM,,,,2070,,,,,,
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_CEM,,,,2010,,,,,,
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_CEM,,,,2011,,,,,,
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_CEM,,,,2012,,,,,,
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_CEM,,,,2013,,,,,,
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_CEM,,,,2014,,,,,,
TotalTechnologyAnnualActivityUpperLimit,DDP,ECU,ELEC_CEM,,,,2015,,,,,,
